id,stained,unstained
AS-7231-22-Z17_35840_28672,Dataset/Data/unstained/AS-7231-22-Z17_patch_35840_28672_stained.tif,Dataset/Data/tes_stain/AS-7231-22-Z17_patch_35840_28672_unstained.tif
AS-5198-23-Z35_27648_35840,Dataset/Data/stained/AS-5198-23-Z35_patch_27648_35840_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z35_patch_27648_35840_unstained.tif
AS-7231-22-Z17_36864_20480,Dataset/Data/unstained/AS-7231-22-Z17_patch_36864_20480_stained.tif,Dataset/Data/tes_stain/AS-7231-22-Z17_patch_36864_20480_unstained.tif
AS-7231-22-Z17_40960_61440,Dataset/Data/unstained/AS-7231-22-Z17_patch_40960_61440_stained.tif,Dataset/Data/tes_stain/AS-7231-22-Z17_patch_40960_61440_unstained.tif
AS-7231-22-Z17_29696_55296,Dataset/Data/unstained/AS-7231-22-Z17_patch_29696_55296_stained.tif,Dataset/Data/tes_stain/AS-7231-22-Z17_patch_29696_55296_unstained.tif
AS-7231-22-Z17_29696_38912,Dataset/Data/unstained/AS-7231-22-Z17_patch_29696_38912_stained.tif,Dataset/Data/tes_stain/AS-7231-22-Z17_patch_29696_38912_unstained.tif
AS-7231-22-Z17_30720_54272,Dataset/Data/unstained/AS-7231-22-Z17_patch_30720_54272_stained.tif,Dataset/Data/tes_stain/AS-7231-22-Z17_patch_30720_54272_unstained.tif
AS-7231-22-Z17_38912_72704,Dataset/Data/unstained/AS-7231-22-Z17_patch_38912_72704_stained.tif,Dataset/Data/tes_stain/AS-7231-22-Z17_patch_38912_72704_unstained.tif
AS-5198-23-Z36_29696_57344,Dataset/Data/stained/AS-5198-23-Z36_patch_29696_57344_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z36_patch_29696_57344_unstained.tif
AS-7231-22-Z17_37888_60416,Dataset/Data/unstained/AS-7231-22-Z17_patch_37888_60416_stained.tif,Dataset/Data/tes_stain/AS-7231-22-Z17_patch_37888_60416_unstained.tif
AS-5198-23-Z35_24576_40960,Dataset/Data/stained/AS-5198-23-Z35_patch_24576_40960_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z35_patch_24576_40960_unstained.tif
AS-5198-23-Z36_27648_25600,Dataset/Data/stained/AS-5198-23-Z36_patch_27648_25600_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z36_patch_27648_25600_unstained.tif
AS-7231-22-Z17_34816_55296,Dataset/Data/unstained/AS-7231-22-Z17_patch_34816_55296_stained.tif,Dataset/Data/tes_stain/AS-7231-22-Z17_patch_34816_55296_unstained.tif
AS-5198-23-Z35_24576_22528,Dataset/Data/stained/AS-5198-23-Z35_patch_24576_22528_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z35_patch_24576_22528_unstained.tif
AS-5198-23-Z35_19456_35840,Dataset/Data/stained/AS-5198-23-Z35_patch_19456_35840_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z35_patch_19456_35840_unstained.tif
AS-5198-23-Z35_22528_26624,Dataset/Data/stained/AS-5198-23-Z35_patch_22528_26624_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z35_patch_22528_26624_unstained.tif
AS-5198-23-Z35_26624_43008,Dataset/Data/stained/AS-5198-23-Z35_patch_26624_43008_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z35_patch_26624_43008_unstained.tif
AS-5198-23-Z35_27648_36864,Dataset/Data/stained/AS-5198-23-Z35_patch_27648_36864_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z35_patch_27648_36864_unstained.tif
AS-5198-23-Z35_27648_27648,Dataset/Data/stained/AS-5198-23-Z35_patch_27648_27648_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z35_patch_27648_27648_unstained.tif
AS-7231-22-Z17_28672_43008,Dataset/Data/unstained/AS-7231-22-Z17_patch_28672_43008_stained.tif,Dataset/Data/tes_stain/AS-7231-22-Z17_patch_28672_43008_unstained.tif
AS-7231-22-Z17_34816_37888,Dataset/Data/unstained/AS-7231-22-Z17_patch_34816_37888_stained.tif,Dataset/Data/tes_stain/AS-7231-22-Z17_patch_34816_37888_unstained.tif
